Time,I_S2F,S2F,Price
2012-02-07,2.17315374,7.54197304,5.7
2012-02-08,2.1815515,7.56415505,5.6
2012-02-09,2.18998717,7.58638283,5.8
2012-02-10,2.19841578,7.60758013,5.9
2012-02-11,2.20673296,7.63066781,5.6
2012-02-12,2.21504822,7.65504001,5.5
2012-02-13,2.22316569,7.67621708,5.3
2012-02-14,2.23116346,7.6975903,4.5
2012-02-15,2.23941784,7.71838396,4.3
2012-02-16,2.24760509,7.73983954,4.3
2012-02-17,2.25582129,7.76352022,4.4
2012-02-18,2.26390803,7.79022175,4.2
2012-02-19,2.27202109,7.81495062,4.4
2012-02-20,2.28008195,7.8369083,4.4
2012-02-21,2.28817245,7.85717906,4.3
2012-02-22,2.29621925,7.88221459,4.4
2012-02-23,2.30425734,7.90841204,5
2012-02-24,2.31230364,7.93182031,5
2012-02-25,2.32045851,7.9581334,4.8
2012-02-26,2.32862348,7.98196296,4.9
2012-02-27,2.33680639,8.00648007,5
2012-02-28,2.34504977,8.03200837,4.9
2012-02-29,2.35326398,8.06063585,4.9
2012-03-01,2.36159053,8.08484095,4.9
2012-03-02,2.37005593,8.10636369,4.7
2012-03-03,2.37860077,8.12454472,4.6
2012-03-04,2.38707361,8.14662558,4.8
2012-03-05,2.39553757,8.17004172,5
2012-03-06,2.40398724,8.19220934,5
2012-03-07,2.41241987,8.21717807,4.9
2012-03-08,2.42089222,8.24252552,4.9
2012-03-09,2.42939456,8.26988414,4.9
2012-03-10,2.43798996,8.29681623,4.8
2012-03-11,2.44661149,8.31873364,4.9
2012-03-12,2.45518646,8.34594141,4.9
2012-03-13,2.46378663,8.37222486,5.3
2012-03-14,2.47229659,8.39477623,5.4
2012-03-15,2.48085849,8.41472931,5.3
2012-03-16,2.48942571,8.4400069,5.3
2012-03-17,2.49795838,8.4681556,5.2
2012-03-18,2.50646906,8.49470868,5.3
2012-03-19,2.51497733,8.51848993,4.7
2012-03-20,2.52345878,8.54515372,4.8
2012-03-21,2.53201455,8.57154168,4.8
2012-03-22,2.54048219,8.59798682,4.7
2012-03-23,2.54905497,8.61911701,4.7
2012-03-24,2.55764386,8.65020756,4.7
2012-03-25,2.56630973,8.6764856,4.6
2012-03-26,2.57498655,8.70197475,4.6
2012-03-27,2.58355369,8.72836309,4.8
2012-03-28,2.5921752,8.75378946,4.8
2012-03-29,2.60087579,8.77756763,4.8
2012-03-30,2.6095717,8.80394635,4.9
2012-03-31,2.61826574,8.8329418,4.9
2012-04-01,2.62697628,8.85704181,4.8
2012-04-02,2.63570301,8.87707472,5
2012-04-03,2.64439936,8.8998858,4.9
2012-04-04,2.65317424,8.92342595,4.9
2012-04-05,2.6619075,8.94356417,4.9
2012-04-06,2.67074399,8.96701279,4.9
2012-04-07,2.67959868,8.98912149,4.7
2012-04-08,2.68847117,9.01525205,4.8
2012-04-09,2.69744239,9.04056804,4.9
2012-04-10,2.70636549,9.06610783,4.8
2012-04-11,2.71526462,9.09065276,4.9
2012-04-12,2.7242424,9.11280052,4.9
2012-04-13,2.73318381,9.13428682,4.9
2012-04-14,2.74214225,9.15861088,5
2012-04-15,2.75108616,9.17736612,5
2012-04-16,2.76014927,9.20370391,4.9
2012-04-17,2.76927558,9.22745327,5
2012-04-18,2.77841541,9.25036368,5.1
2012-04-19,2.78740948,9.27808562,5.1
2012-04-20,2.79640704,9.30533449,5.3
2012-04-21,2.80538591,9.33263952,5.3
2012-04-22,2.81452742,9.35751106,5.2
2012-04-23,2.82369019,9.3815384,5
2012-04-24,2.83289184,9.40614442,5.1
2012-04-25,2.84213116,9.42882912,5.1
2012-04-26,2.85135105,9.4565672,5.1
2012-04-27,2.86061607,9.48077283,5.1
2012-04-28,2.8698465,9.50807862,5
2012-04-29,2.8791258,9.54030556,4.9
2012-04-30,2.8883852,9.57260914,4.9
2012-05-01,2.89768393,9.60335958,5
2012-05-02,2.90691941,9.63054987,5.1
2012-05-03,2.91613563,9.65906692,5.1
2012-05-04,2.92535855,9.68837206,5.1
2012-05-05,2.93466322,9.71883523,5.1
2012-05-06,2.94423086,9.74881659,5.1
2012-05-07,2.95381162,9.77996332,5.1
2012-05-08,2.9633822,9.81228293,5.1
2012-05-09,2.97295331,9.84283487,5
2012-05-10,2.98251461,9.86662313,4.8
2012-05-11,2.99215587,9.89304022,5
2012-05-12,3.00194113,9.91672839,4.9
2012-05-13,3.01171858,9.94268291,4.9
2012-05-14,3.02151128,9.9684992,5
2012-05-15,3.03131085,9.99268652,5
2012-05-16,3.04124563,10.0150498,5.1
2012-05-17,3.05116607,10.0368879,5.1
2012-05-18,3.0610184,10.0639985,5.1
2012-05-19,3.0708632,10.0919106,5.1
2012-05-20,3.08072711,10.1178104,5.1
2012-05-21,3.09057204,10.1414989,5.1
2012-05-22,3.10040356,10.1631533,5.1
2012-05-23,3.11026292,10.1876713,5.1
2012-05-24,3.12019243,10.2112854,5.1
2012-05-25,3.13008951,10.2341805,5.2
2012-05-26,3.13997409,10.261095,5.1
2012-05-27,3.14984196,10.2912907,5.1
2012-05-28,3.15970108,10.3183106,5.1
2012-05-29,3.16955951,10.3423277,5.2
2012-05-30,3.17949697,10.3673395,5.1
2012-05-31,3.1894865,10.3937337,5.2
2012-06-01,3.19927811,10.4228601,5.3
2012-06-02,3.20912313,10.453197,5.3
2012-06-03,3.21896425,10.4828255,5.2
2012-06-04,3.22877613,10.5128989,5.3
2012-06-05,3.23853756,10.5412927,5.4
2012-06-06,3.24848668,10.5709025,5.5
2012-06-07,3.25824859,10.5978536,5.6
2012-06-08,3.2679705,10.6252417,5.6
2012-06-09,3.27785963,10.6585238,5.6
2012-06-10,3.28787308,10.6909027,5.5
2012-06-11,3.29784311,10.7182638,5.6
2012-06-12,3.30778592,10.7488098,5.7
2012-06-13,3.31788783,10.7782386,5.9
2012-06-14,3.32792176,10.8089045,5.9
2012-06-15,3.33777258,10.8402232,6.5
